uuid, AuthorYear,Include,BiasRating,N,StatType,StatTypeDetails,ModelDescription,StatGrouping,,Stat,CILow,CIHigh,SE,T-Ratio,Wald,PValue,Statistic from Largest Model,Table,ModelNumber,Finding In Abstract?,PreventativeOrRecovery,OutcomeType,OutcomeSubType,OutcomeScale,OutcomeScaleDetails,OutcomeDetails,Outcome Directionality,ToInvert,OutcomeNotes,Outcome Measured at Baseline?,ExposureCategory,Exposure,Exposure - Additional Notes,Exposure Measured at Baseline,Summary (SI),Notes,CountryPopulation,Design (F/U Period),Description of Quality/Bias,Reference
b1729f17-7994-4969-8b44-dc70445f141d,Hill and Pollock 2015,no,Low / Moderate,"1,174",β,β standardized,,,,-0.097,,,,,,0.006,,4,waves 4/5,,,Substance Use,Marijuana,Dichotomous,Use (Started/Used),levels of marijuana use - adolescence,,,waves 4/5,yes,R/S,Religious Belief,Importance of Religion,"yes, but also measured at F/U and appear to use the F/U value instead","High importance of belief in God did predict lower levels of marijuana use a year later in adolescents [standardized β=-0.097, p=0.006]",,US Adolescents 15-21 and Adults 38042 from National Youth Survey Family Study (NYSFS),Prospective cohort study (1 year),"Controlled for baseline outcomes and multiple potential confounders (SES, marriage and job importance, peer information, prior delinquency, demographics); potential collinearity of religious/spiritual measures, unclear if adults are representative (from waves 10 and 11 of NYSFS, some loss to followup).","Hill, Milton C.; Pollock, Wendi. Was Hirschi right?: A national-level longitudinal examination of religion as a social bond. Deviant Behavior 2015;36(10):783-806."
52b4e038-be73-479b-bc48-6111e0486d07,Hill and Pollock 2015,yes,Low / Moderate,"1,174",β,β standardized,,sRMD,,-0.102,,,,,,0.025,,4,waves 10/11,yes - but general,preventative,Substance Use,Marijuana,Dichotomous,Use (Started/Used),levels of marijuana use - adulthood,,,waves 10/11 (final waves),yes,R/S,Religious Belief,high importance of belief in God ,"yes, but also measured at F/U and appear to use the F/U value instead","High importance of belief in God did predict lower levels of marijuana use a year later in adulthood [standardized β=-0.102, p<0.001]",,US Adolescents 15-21 and Adults 38042 from National Youth Survey Family Study (NYSFS),Prospective cohort study (1 year),"Controlled for baseline outcomes and multiple potential confounders (SES, marriage and job importance, peer information, prior delinquency, demographics); potential collinearity of religious/spiritual measures, unclear if adults are representative (from waves 10 and 11 of NYSFS, some loss to followup).","Hill, Milton C.; Pollock, Wendi. Was Hirschi right?: A national-level longitudinal examination of religion as a social bond. Deviant Behavior 2015;36(10):783-806."
9aa4a8e5-b928-4f9e-a9f1-28a384bedba0,Hill and Pollock 2015,no,Low / Moderate,"1,174",β,β standardized,,,,-0.098,,,,,,0.039,,5,waves 4/5,,,Substance Use,Hard Drugs,Dichotomous,Use (Started/Used),levels of hard drugs - adolescence,,,waves 4/5,yes,R/S,Religious Belief,Importance of Religion,"yes, but also measured at F/U and appear to use the F/U value instead","High importance of belief in God was significantly associated with lower hard drug use in adolescence [standardized β=-0.098, p=0.039]",,US Adolescents 15-21 and Adults 38042 from National Youth Survey Family Study (NYSFS),Prospective cohort study (1 year),"Controlled for baseline outcomes and multiple potential confounders (SES, marriage and job importance, peer information, prior delinquency, demographics); potential collinearity of religious/spiritual measures, unclear if adults are representative (from waves 10 and 11 of NYSFS, some loss to followup).","Hill, Milton C.; Pollock, Wendi. Was Hirschi right?: A national-level longitudinal examination of religion as a social bond. Deviant Behavior 2015;36(10):783-806."
35910958-1632-43ed-9219-f38ce7065b16,Hill and Pollock 2015,yes,Low / Moderate,"1,174",β,β standardized,,sRMD,,0.059,,,,,,0.318,,5,waves 10/11,yes - but general,preventative,Substance Use,Hard Drugs,Dichotomous,Use (Started/Used),levels of hard drugs - adulthood,,,waves 10/11 (final waves),yes,R/S,Religious Belief,high importance of belief in God ,"yes, but also measured at F/U and appear to use the F/U value instead",High importance of belief in God was not significantly associated with lower hard drug use in adulthood [p=0.318],not significant,US Adolescents 15-21 and Adults 38042 from National Youth Survey Family Study (NYSFS),Prospective cohort study (1 year),"Controlled for baseline outcomes and multiple potential confounders (SES, marriage and job importance, peer information, prior delinquency, demographics); potential collinearity of religious/spiritual measures, unclear if adults are representative (from waves 10 and 11 of NYSFS, some loss to followup).","Hill, Milton C.; Pollock, Wendi. Was Hirschi right?: A national-level longitudinal examination of religion as a social bond. Deviant Behavior 2015;36(10):783-806."
b7adedb8-70e5-44a1-9d9d-448ab92b2ee7,Hoffmann 2014,yes,Low / Moderate,"2,276",β,β standardized,,sRMD,,-0.097,,,,,,<0.05,,Fig 3,2→3,yes - but general,preventative,Substance Use,Marijuana,Frequency,Use (Frequency),marijuana use (frequency scale),,,,,R/S,Religiousness,Higher values of religiousness at wave 2,,"Higher values of religiousness at wave 2 were associated with about 10% less marijuana use at wave 3 one year later [β=-0.97, p<0.05].",,US Adolescents 13-17 from National Study of Youth and Religion (NSYR),Prospective cohort study (6 years),"Proxy control for baseline outcomes (past marijuana use at baseline as dichotomous measure); controlled for multiple other potential confounders (peer network, moral chemas, family cohesion and adult social support, SES, grades); 57% response rate and about 70% follow up rate in each wave.","Hoffmann, J. P.Religiousness, Social Networks, Moral Schemas, and Marijuana Use: A Dynamic Dual- Process Model of Culture and Behavior. Social Forces Sep 2014;93 (1):181-208."
790ad010-5fd8-40dd-b65c-e48c722dcf72,Hoffmann 2014,no,Low / Moderate,"2,276",β,,,,,-0.12,,,,,,<0.01,,,,,,Substance Use,Marijuana,Frequency,Frequency,marijuana use (frequency scale) - wave 2,,,,,R/S,Religiousness,Higher values of religiousness at wave 2,,"In a more limited model with fewer included confounders, higher levels of religiousness are associated with decreased marijuana use in both wave 2 and 3 [β(wave 1)=-0.123, p<0.01; β(wave 1)=-0.100, p<0.01].",fewer included cofounders,US Adolescents 13-17 from National Study of Youth and Religion (NSYR),Prospective cohort study (6 years),"Proxy control for baseline outcomes (past marijuana use at baseline as dichotomous measure); controlled for multiple other potential confounders (peer network, moral chemas, family cohesion and adult social support, SES, grades); 57% response rate and about 70% follow up rate in each wave.","Hoffmann, J. P.Religiousness, Social Networks, Moral Schemas, and Marijuana Use: A Dynamic Dual- Process Model of Culture and Behavior. Social Forces Sep 2014;93 (1):181-208."
e460ff78-4012-458e-b74d-a1156a1b741e,Hoffmann 2014,no - indirect path,Low / Moderate,"2,276",β,,,,,-0.10,,,,,,<0.01,,,,,,Substance Use,Marijuana,Frequency,Frequency,marijuana use (frequency scale) - wave 3,,,,,R/S,Religiousness,Higher values of religiousness at wave 3,,"The data suggest that religiousness also predicts decreases in drug using peer networks, increases in religious networks, and increases in moral schema, which might be pathways for religion to impact marijuana use.",fewer included cofounders,US Adolescents 13-17 from National Study of Youth and Religion (NSYR),Prospective cohort study (6 years),"Proxy control for baseline outcomes (past marijuana use at baseline as dichotomous measure); controlled for multiple other potential confounders (peer network, moral chemas, family cohesion and adult social support, SES, grades); 57% response rate and about 70% follow up rate in each wave.","Hoffmann, J. P.Religiousness, Social Networks, Moral Schemas, and Marijuana Use: A Dynamic Dual- Process Model of Culture and Behavior. Social Forces Sep 2014;93 (1):181-208."
060c5a9c-4b74-45b7-a072-1363f05fd94d,Hoffmann 2014,no - parents,Low / Moderate,"2,276",β,,,,,-0.20,,,,,,<0.01,,,,,,Substance Use,Marijuana,Frequency,Frequency,marijuana use (frequency scale) - wave 3,,,,,Parents,Religiousness (Parents),Religiousness of adults/parents,,"Religiousness of adults/parents was also significantly associated with a decrease in marijuana use [β=-0.200, p<0.01].",,US Adolescents 13-17 from National Study of Youth and Religion (NSYR),Prospective cohort study (6 years),"Proxy control for baseline outcomes (past marijuana use at baseline as dichotomous measure); controlled for multiple other potential confounders (peer network, moral chemas, family cohesion and adult social support, SES, grades); 57% response rate and about 70% follow up rate in each wave.","Hoffmann, J. P.Religiousness, Social Networks, Moral Schemas, and Marijuana Use: A Dynamic Dual- Process Model of Culture and Behavior. Social Forces Sep 2014;93 (1):181-208."
6d94b403-41d0-4ea3-8e3f-dee22a311721,Kelly et al. 2012,,Low / Moderate,688,,,,,,0.14,,,0.05,2.95,,<0.05,,3,,,,Substance Use,Alcohol,Frequency,Frequency,Percentage of days abstinent,,,,,R/S,Religiousness,Aftercare,yes,"This mediation study found that AA attendance led to better alcohol outcomes by increasing spirituality and religiosity (explains 22% of the association) in addition to reducing negative affect, increasing self efficacy, and increasing social network.",Religion used as a mediator. No direct analysis? Can we use this?,US Adults in treatment from Project MATCH,Prospective cohort study (15 months),"Controlled for baseline outcome variables and the 6 mediating variables (positive affect, negative affect, spirituality/religiosity, depression, pro- abstinence social network, pro-drinking social network) and some other potential confounders (demographic variables, prior alcohol treatment, treatment assignment, and study site); religion/spirituality assessed as a change over time, used an RCT population testing different psychosocial therapy interventions.","Kelly, J. F., Hoeppner, B., Stout, R. L., & Pagano, M. Determining the relative importance of the mechanisms of behavior change within Alcoholics Anonymous: A multiple mediator analysis. Addiction, 107(2):289-299."
2a03cc61-9bbf-493c-9e26-82ecfc32070e,Kelly et al. 2012,,Low / Moderate,856,,,,,,0.04,,,0.05,0.86,,,,3,,,,Substance Use,Alcohol,Frequency,Frequency,Percentage of days abstinent,,,,,R/S,Religiousness,Out-patient,yes,"This mediation study found that AA attendance led to better alcohol outcomes by increasing spirituality and religiosity (explains 22% of the association) in addition to reducing negative affect, increasing self efficacy, and increasing social network.",Religion used as a mediator. No direct analysis? Can we use this?,US Adults in treatment from Project MATCH,Prospective cohort study (15 months),"Controlled for baseline outcome variables and the 6 mediating variables (positive affect, negative affect, spirituality/religiosity, depression, pro- abstinence social network, pro-drinking social network) and some other potential confounders (demographic variables, prior alcohol treatment, treatment assignment, and study site); religion/spirituality assessed as a change over time, used an RCT population testing different psychosocial therapy interventions.","Kelly, J. F., Hoeppner, B., Stout, R. L., & Pagano, M. Determining the relative importance of the mechanisms of behavior change within Alcoholics Anonymous: A multiple mediator analysis. Addiction, 107(2):289-299."
a0683bdd-851a-42c5-b142-0a2ca6b299bc,Kelly et al. 2012,,Low / Moderate,688,,,,,,-0.11,,,0.05,-2.2,,<0.05,,3,,,,Substance Use,Alcohol,Frequency,Frequency,Drinks per drinking day,,,,,R/S,Religiousness,Aftercare,yes,"This mediation study found that AA attendance led to better alcohol outcomes by increasing spirituality and religiosity (explains 22% of the association) in addition to reducing negative affect, increasing self efficacy, and increasing social network.",Religion used as a mediator. No direct analysis? Can we use this?,US Adults in treatment from Project MATCH,Prospective cohort study (15 months),"Controlled for baseline outcome variables and the 6 mediating variables (positive affect, negative affect, spirituality/religiosity, depression, pro- abstinence social network, pro-drinking social network) and some other potential confounders (demographic variables, prior alcohol treatment, treatment assignment, and study site); religion/spirituality assessed as a change over time, used an RCT population testing different psychosocial therapy interventions.","Kelly, J. F., Hoeppner, B., Stout, R. L., & Pagano, M. Determining the relative importance of the mechanisms of behavior change within Alcoholics Anonymous: A multiple mediator analysis. Addiction, 107(2):289-299."
94410e17-40d8-47c2-9706-bbbf56a065ab,Kelly et al. 2012,,Low / Moderate,856,,,,,,-0.05,,,0.05,-0.99,,,,3,,,,Substance Use,Alcohol,Frequency,Frequency,Drinks per drinking day,,,,,R/S,Religiousness,Out-patient,yes,"This mediation study found that AA attendance led to better alcohol outcomes by increasing spirituality and religiosity (explains 22% of the association) in addition to reducing negative affect, increasing self efficacy, and increasing social network.",Religion used as a mediator. No direct analysis? Can we use this?,US Adults in treatment from Project MATCH,Prospective cohort study (15 months),"Controlled for baseline outcome variables and the 6 mediating variables (positive affect, negative affect, spirituality/religiosity, depression, pro- abstinence social network, pro-drinking social network) and some other potential confounders (demographic variables, prior alcohol treatment, treatment assignment, and study site); religion/spirituality assessed as a change over time, used an RCT population testing different psychosocial therapy interventions.","Kelly, J. F., Hoeppner, B., Stout, R. L., & Pagano, M. Determining the relative importance of the mechanisms of behavior change within Alcoholics Anonymous: A multiple mediator analysis. Addiction, 107(2):289-299."
d31e7a52-7d23-4d9d-95e9-3fdc004470d7,Kobayashi et al. 2015,no,Low / Moderate,"11,162",AOR,slightly religious,,,,0.88,0.78,0.99,,,,,,6,,,,Substance Use,Smoking,Dichotomous,Use (Active),Current smoker,,,,yes,R/S,Religiousness,Religiosity (scale),yes,,,Japan Adults who participated in annual health check-up program at St. Luke's International Hospital,Prospective cohort study (5 years),"Controlled for outcomes at baseline and multiple other potential confounders (occupation, BMI, age, gender).","Kobayashi D, Shimbo T, Takahashi O, Davis RB, Wee CC (2015). The relationship between religiosity and cardiovascular risk factors in Japan: A large-scale cohort study. Journal of the American Society of Hypertension 9(7):553-562."
e29d4a50-334f-43f9-87d8-e5ea910e8103,Kobayashi et al. 2015,no,Low / Moderate,"8,198",AOR,somewhat religious,,,,0.75,0.65,0.87,,,,,,6,,,,Substance Use,Smoking,Dichotomous,Use (Active),Current smoker,,,,,R/S,Religiousness,Religiosity (scale),yes,"Compared with those who were not religious at baseline lower odds of being a current smoker OR(somewhat religious)=0.75 (95% CI: 0.65, 0.87)",,Japan Adults who participated in annual health check-up program at St. Luke's International Hospital,Prospective cohort study (5 years),"Controlled for outcomes at baseline and multiple other potential confounders (occupation, BMI, age, gender).","Kobayashi D, Shimbo T, Takahashi O, Davis RB, Wee CC (2015). The relationship between religiosity and cardiovascular risk factors in Japan: A large-scale cohort study. Journal of the American Society of Hypertension 9(7):553-562."
836061dd-af3e-495d-a6ac-158fbf20ed28,Kobayashi et al. 2015,yes,Low / Moderate,"2,942",AOR,religious,,OR,,0.88,0.71,1.08,,,,,,6,,yes,preventative,Substance Use,Smoking,Dichotomous,Use (Active),Current smoker,,,,,R/S,Religiousness,Religiosity (scale),yes,"Compared with those who were not religious at baseline lower odds of being a current smoker OR(religious) =0.88 (95% CI: 0.71, 1.08)",,Japan Adults who participated in annual health check-up program at St. Luke's International Hospital,Prospective cohort study (5 years),"Controlled for outcomes at baseline and multiple other potential confounders (occupation, BMI, age, gender).","Kobayashi D, Shimbo T, Takahashi O, Davis RB, Wee CC (2015). The relationship between religiosity and cardiovascular risk factors in Japan: A large-scale cohort study. Journal of the American Society of Hypertension 9(7):553-562."
1364d348-28c1-443a-a83f-c12b3cdb449e,Kobayashi et al. 2015,no,Low / Moderate,"11,162",AOR,slightly religious,,,,0.98,0.91,1.06,,,,,,6,,,,Substance Use,Alcohol,Dichotomous,Use (Active),Excessive alcohol consumption,,,,,R/S,Religiousness,Religiosity (scale),yes,,,Japan Adults who participated in annual health check-up program at St. Luke's International Hospital,Prospective cohort study (5 years),"Controlled for outcomes at baseline and multiple other potential confounders (occupation, BMI, age, gender).","Kobayashi D, Shimbo T, Takahashi O, Davis RB, Wee CC (2015). The relationship between religiosity and cardiovascular risk factors in Japan: A large-scale cohort study. Journal of the American Society of Hypertension 9(7):553-562."
97a61bbe-1174-41f9-8b7b-b2910a5ba7ea,Kobayashi et al. 2015,no,Low / Moderate,"8,198",AOR,somewhat religious,,,,1.01,0.93,1.1,,,,,,6,,,,Substance Use,Alcohol,Dichotomous,Use (Active),Excessive alcohol consumption,,,,,R/S,Religiousness,Religiosity (scale),yes,,,Japan Adults who participated in annual health check-up program at St. Luke's International Hospital,Prospective cohort study (5 years),"Controlled for outcomes at baseline and multiple other potential confounders (occupation, BMI, age, gender).","Kobayashi D, Shimbo T, Takahashi O, Davis RB, Wee CC (2015). The relationship between religiosity and cardiovascular risk factors in Japan: A large-scale cohort study. Journal of the American Society of Hypertension 9(7):553-562."
684ccfd4-713d-4635-a5fc-280829fb6b13,Kobayashi et al. 2015,yes,Low / Moderate,"28,948",AOR,religious,,OR,,0.87,0.77,0.98,,,,,,6,,yes,preventative,Substance Use,Alcohol,Dichotomous,Use (Active),Excessive alcohol consumption,,,,,R/S,Religiousness,Religiosity (scale),yes,"Compared with those who were not religious at baseline lower odds of using excessive alcohol OR(religious)=0.87 (95% CI: 0.77, 0.98)",,Japan Adults who participated in annual health check-up program at St. Luke's International Hospital,Prospective cohort study (5 years),"Controlled for outcomes at baseline and multiple other potential confounders (occupation, BMI, age, gender).","Kobayashi D, Shimbo T, Takahashi O, Davis RB, Wee CC (2015). The relationship between religiosity and cardiovascular risk factors in Japan: A large-scale cohort study. Journal of the American Society of Hypertension 9(7):553-562."
f3d8a537-1eb2-4c0e-974b-238581a59d95,Mak 2019,yes,Low / Moderate,837,β,log-odds adjusted,,sRMD,,0.943,,,0.28,,,<0.01,,1,,yes,recovery?,Substance Use,Smoking,Dichotomous,Use (Abstain),Substance non-use in the past 30 days (dichotomous),,,,,RSA,Religious Service Attendance,,no - Church attendance and religious faith. Church attendance frequency and the importance of religion were measured at Wave 4.,No association of religious attendance with smoking.,"The sample was restricted to respondents who were between ages 13 and 18 at the time of the first interview and those who reported having (a) used at least one cigarette per day, (b) consumed at least one alcoholic drink per day or consumed three or more drinks on one occasion at least two times a month",US Adults 18-25 with previous substance use from Add Health,Prospective cohort study (7 years),"Controlled for baseline outcomes and multiple potential confounders (SES, maternal substance use, etc.).; variable N (depending on outcome) but larger than 1,000 for each analysis.","Mak, H. W.Dimensions of Religiosity: The Effects of Attendance at Religious Services and Religious Faith on Discontinuity in Substance Use. J Stud Alcohol Drugs May 019;80(3):358-365."
adc15a3e-f480-4e48-bd0e-e3fe473a11ea,Mak 2019,yes,Low / Moderate,"1,045",β,log-odds adjusted,,sRMD,,1.426,,,0.275,,,<0.001,,1,,yes,recovery?,Substance Use,Alcohol,Dichotomous,Use (Abstain),Substance non-use in the past 30 days (dichotomous),,TRUE,,,RSA,Religious Service Attendance,,no - Church attendance and religious faith. Church attendance frequency and the importance of religion were measured at Wave 4.,"Greater religious attendance was associated with greater non-use of alcohol [log-odds=1.426, p<0.001]","The sample was restricted to respondents who were between ages 13 and 18 at the time of the first interview and those who reported having (a) used at least one cigarette per day, (b) consumed at least one alcoholic drink per day or consumed three or more drinks on one occasion at least two times a month",US Adults 18-25 with previous substance use from Add Health,Prospective cohort study (7 years),"Controlled for baseline outcomes and multiple potential confounders (SES, maternal substance use, etc.).; variable N (depending on outcome) but larger than 1,000 for each analysis.","Mak, H. W.Dimensions of Religiosity: The Effects of Attendance at Religious Services and Religious Faith on Discontinuity in Substance Use. J Stud Alcohol Drugs May 019;80(3):358-365."
0370ca2f-f366-49d5-bc89-05611599d8ee,Mak 2019,no,Low / Moderate,668,,log-odds adjusted,,,,1.280,,,0.423,,,<0.01,,1,,,,Substance Use,Marijuana,Dichotomous,Use (Abstain),Substance non-use in the past 30 days (dichotomous),,,,,RSA,Religious Service Attendance,,no - Church attendance and religious faith. Church attendance frequency and the importance of religion were measured at Wave 4.,"Greater religious attendance was associated with greater non-use of marijuana [log-odds=1.28, p<0.01]","The sample was restricted to respondents who were between ages 13 and 18 at the time of the first interview and those who reported having (a) used at least one cigarette per day, (b) consumed at least one alcoholic drink per day or consumed three or more drinks on one occasion at least two times a month",US Adults 18-25 with previous substance use from Add Health,Prospective cohort study (7 years),"Controlled for baseline outcomes and multiple potential confounders (SES, maternal substance use, etc.).; variable N (depending on outcome) but larger than 1,000 for each analysis.","Mak, H. W.Dimensions of Religiosity: The Effects of Attendance at Religious Services and Religious Faith on Discontinuity in Substance Use. J Stud Alcohol Drugs May 019;80(3):358-365."
88b5018b-4918-47b1-8dd7-f5561f883b14,Mak 2019,yes,Low / Moderate,684,β,log-odds adjusted,,sRMD,,1.400,,,0.41,,,<0.01,,1,,yes,recovery?,Substance Use,Drugs,Dichotomous,Use (Abstain),Substance non-use in the past 30 days (dichotomous),,TRUE,drugs inclusive of marijuana,,RSA,Religious Service Attendance,,no - Church attendance and religious faith. Church attendance frequency and the importance of religion were measured at Wave 4.,"Greater religious attendance was associated with greater non-use of any illicit drug (including marijuana) [log- odds=1.4, p<0.01]","The sample was restricted to respondents who were between ages 13 and 18 at the time of the first interview and those who reported having (a) used at least one cigarette per day, (b) consumed at least one alcoholic drink per day or consumed three or more drinks on one occasion at least two times a month",US Adults 18-25 with previous substance use from Add Health,Prospective cohort study (7 years),"Controlled for baseline outcomes and multiple potential confounders (SES, maternal substance use, etc.).; variable N (depending on outcome) but larger than 1,000 for each analysis.","Mak, H. W.Dimensions of Religiosity: The Effects of Attendance at Religious Services and Religious Faith on Discontinuity in Substance Use. J Stud Alcohol Drugs May 019;80(3):358-365."
b57e0886-b118-4bc9-a99d-83838765a13d,Mak 2019,yes,Low / Moderate,836,β,log-odds adjusted,,sRMD,,0.15,,,0.189,,,>0.05,,2,,no,recovery?,Substance Use,Smoking,Dichotomous,Use (Abstain),Substance non-use in the past 30 days (dichotomous),,,,,R/S,Religiousness,,no - Church attendance and religious faith. Church attendance frequency and the importance of religion were measured at Wave 4.,,,US Adults 18-25 with previous substance use from Add Health,Prospective cohort study (7 years),"Controlled for baseline outcomes and multiple potential confounders (SES, maternal substance use, etc.).; variable N (depending on outcome) but larger than 1,000 for each analysis.","Mak, H. W.Dimensions of Religiosity: The Effects of Attendance at Religious Services and Religious Faith on Discontinuity in Substance Use. J Stud Alcohol Drugs May 019;80(3):358-365."
b8bfa2cf-6c58-4136-a38c-3bfc703ddbb1,Mak 2019,yes,Low / Moderate,"1,042",β,log-odds adjusted,,sRMD,,0.48,,,0.232,,,<0.05,,2,,yes,recovery?,Substance Use,Alcohol,Dichotomous,Use (Abstain),Substance non-use in the past 30 days (dichotomous),,,,,R/S,Religiousness,,no - Church attendance and religious faith. Church attendance frequency and the importance of religion were measured at Wave 4.,"Religious faith was associated with greater non-use of alcohol in the last month [log-odds=0.48, p<0.05]","The sample was restricted to respondents who were between ages 13 and 18 at the time of the first interview and those who reported having (a) used at least one cigarette per day, (b) consumed at least one alcoholic drink per day or consumed three or more drinks on one occasion at least two times a month",US Adults 18-25 with previous substance use from Add Health,Prospective cohort study (7 years),"Controlled for baseline outcomes and multiple potential confounders (SES, maternal substance use, etc.).; variable N (depending on outcome) but larger than 1,000 for each analysis.","Mak, H. W.Dimensions of Religiosity: The Effects of Attendance at Religious Services and Religious Faith on Discontinuity in Substance Use. J Stud Alcohol Drugs May 019;80(3):358-365."
4d99772c-b916-4a8b-805d-c17a851f576f,Mak 2019,no,Low / Moderate,666,,log-odds adjusted,,,,0.10,,,0.182,,,>0.05,,2,,,,Substance Use,Marijuana,Dichotomous,Use (Abstain),Substance non-use in the past 30 days (dichotomous),,,,,R/S,Religiousness,,no - Church attendance and religious faith. Church attendance frequency and the importance of religion were measured at Wave 4.,"No association was seen for smoking, marijuana, or illicit drugs and religious faith.","The sample was restricted to respondents who were between ages 13 and 18 at the time of the first interview and those who reported having (a) used at least one cigarette per day, (b) consumed at least one alcoholic drink per day or consumed three or more drinks on one occasion at least two times a month",US Adults 18-25 with previous substance use from Add Health,Prospective cohort study (7 years),"Controlled for baseline outcomes and multiple potential confounders (SES, maternal substance use, etc.).; variable N (depending on outcome) but larger than 1,000 for each analysis.","Mak, H. W.Dimensions of Religiosity: The Effects of Attendance at Religious Services and Religious Faith on Discontinuity in Substance Use. J Stud Alcohol Drugs May 019;80(3):358-365."
9ff44f9d-5d80-4abc-96af-a7caf7b2b110,Mak 2019,yes,Low / Moderate,682,β,log-odds adjusted,,sRMD,,0.10,,,0.175,,,>0.05,,2,,no,recovery?,Substance Use,Drugs,Dichotomous,Use (Abstain),Substance non-use in the past 30 days (dichotomous),,,,,R/S,Religiousness,,no - Church attendance and religious faith. Church attendance frequency and the importance of religion were measured at Wave 4.,,,US Adults 18-25 with previous substance use from Add Health,Prospective cohort study (7 years),"Controlled for baseline outcomes and multiple potential confounders (SES, maternal substance use, etc.).; variable N (depending on outcome) but larger than 1,000 for each analysis.","Mak, H. W.Dimensions of Religiosity: The Effects of Attendance at Religious Services and Religious Faith on Discontinuity in Substance Use. J Stud Alcohol Drugs May 019;80(3):358-365."
e15a4f0d-a681-4db4-8f9d-305d85fd313e,Metzger et al. 2011,no,Low / Moderate,490,β*β,interaction,,,,-0.09,,,,,,0.01,,Fig 3,,,,Substance Use,Smoking,,Frequency,"Smoking (continuous, frequency in last month)",,,boys,,Activity,Religious Activity Involvement,,yes,"Boys' (but not girls') religious activity involvement at baseline was associated with reduced smoking at 24 months via boys' involvement in religious activities at 15 months [β⁎β=-0.09, p=0.010].",These are indirect pathways,US 9th or 10th graders from 16 Chicago-area high schools,Prospective cohort study (2 years),"Control for baseline outcomes and some other confounders (social activity, peer smoking); complex bootstrapping methods.","Metzger, A.; Dawes, N.; Mermelstein, R.; Wakschlag, L. Longitudinal Modeling of Adolescents' Activity Involvement, Problem Peer Associations, and Youth Smoking. J Appl Dev Psychol Jan 2011;32(1):1-9."
1029909b-ba19-4180-8359-725ce4b8a703,Metzger et al. 2011,no,Low / Moderate,650,β*β,interaction,,,,-0.03,,,,,,0.046,,Fig 2,,,,Substance Use,Smoking,,Frequency,"Smoking (continuous, frequency in last month)",,,girls,,Activity,Religious Activity Involvement,,yes,"Girls' religious involvement at baseline predicted lower levels of smoking at 24 months via reductions in problem peer associations at 15 months [β⁎β=-0.03, p=0.046].",These are indirect pathways,US 9th or 10th graders from 16 Chicago-area high schools,Prospective cohort study (2 years),"Control for baseline outcomes and some other confounders (social activity, peer smoking); complex bootstrapping methods.","Metzger, A.; Dawes, N.; Mermelstein, R.; Wakschlag, L. Longitudinal Modeling of Adolescents' Activity Involvement, Problem Peer Associations, and Youth Smoking. J Appl Dev Psychol Jan 2011;32(1):1-9."
acd4e12a-1da3-4be6-9c46-552137b65aa2,Metzger et al. 2011,no,Low / Moderate,650,,,,,,0.01,,,,,,>0.05,,Fig 2,,,,Substance Use,Smoking,,Frequency,"Smoking (continuous, frequency in last month)",,,girls,,Activity,Religious Activity Involvement,,yes,,These are indirect pathways,US 9th or 10th graders from 16 Chicago-area high schools,Prospective cohort study (2 years),"Control for baseline outcomes and some other confounders (social activity, peer smoking); complex bootstrapping methods.","Metzger, A.; Dawes, N.; Mermelstein, R.; Wakschlag, L. Longitudinal Modeling of Adolescents' Activity Involvement, Problem Peer Associations, and Youth Smoking. J Appl Dev Psychol Jan 2011;32(1):1-9."
37e87e24-e4f4-4c98-bde4-ddd79ba73932,Metzger et al. 2011,no,Low / Moderate,490,,,,,,-0.08,,,,,,<0.05,,Fig 3,,,,Substance Use,Smoking,,Frequency,"Smoking (continuous, frequency in last month)",,,boys,,Activity,Religious Activity Involvement,,yes,,These are indirect pathways,US 9th or 10th graders from 16 Chicago-area high schools,Prospective cohort study (2 years),"Control for baseline outcomes and some other confounders (social activity, peer smoking); complex bootstrapping methods.","Metzger, A.; Dawes, N.; Mermelstein, R.; Wakschlag, L. Longitudinal Modeling of Adolescents' Activity Involvement, Problem Peer Associations, and Youth Smoking. J Appl Dev Psychol Jan 2011;32(1):1-9."
b04f1db3-a858-4a7f-a55b-44065e408ad7,Mumford and Liu 2016,no,Low / Moderate,"9,050",AOR,once/twice per year),,,,0.700,0.5,0.97,,,,<0.05,yes,4,Persistent Smoker,,,Substance Use,Smoking,Dichotomous,Use (Continued),Smoking (trajectory),,,Persistent Smoker,,RSA,Religious Service Attendance,,,"Specifically, for ""persistent smokers,"" any attendance proved protective compared with never attenders AOR(once/twice per year)=0.70, p<0.05",,US Mothers from ECLS-B,Prospective cohort study (5 years),"Analyzed smoking trajectories over time but included some proxies for baseline (including postpartum drinking and cohabitation with smokers); controlled for multiple other potential confounders (sociodemographics, social support from family/friends/work, social connectedness, community service, postpartum depression, duration of breastfeeding).","Mumford, E. A., & Liu, W. Social integration and maternal smoking: A longitudinal analysis of a national birth cohort. Maternal and Child Health Journal, 20(8), 1586-1597."
